,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,55.47,88,100,5.82,NZ,1638655653
1,tasiilaq,65.6145,-37.6368,28.56,88,100,38.68,GL,1638655653
2,chokurdakh,70.6333,147.9167,-40.54,100,59,2.95,RU,1638655654
3,rikitea,-23.1203,-134.9692,76.06,71,40,10,PF,1638655654
4,hermanus,-34.4187,19.2345,63.9,90,100,17.65,ZA,1638655655
5,mezen,65.8522,44.24,0,90,29,4.27,RU,1638655655
6,atuona,-9.8,-139.0333,78.51,74,8,17.72,PF,1638655656
7,shushtar,32.0455,48.8567,59.94,37,13,3.67,IR,1638655656
9,tuktoyaktuk,69.4541,-133.0374,-20.78,89,5,6.38,CA,1638655657
10,qasigiannguit,68.8193,-51.1922,37.65,42,100,42.08,GL,1638655657
12,albany,42.6001,-73.9662,40.8,70,85,7.05,US,1638655658
13,souillac,-20.5167,57.5167,77.36,79,17,11.41,MU,1638655658
14,kodiak,57.79,-152.4072,26.11,68,90,8.05,US,1638655659
15,avera,33.194,-82.5271,72.72,58,99,5.82,US,1638655659
16,micheweni,-4.9667,39.8333,77.99,84,20,5.82,TZ,1638655659
17,khatanga,71.9667,102.5,-21.1,97,100,9.35,RU,1638655659
18,maneadero,31.7167,-116.5667,69.19,83,73,5.01,MX,1638655660
19,chuy,-33.6971,-53.4616,66.24,85,100,8.93,UY,1638655660
20,kahului,20.8947,-156.47,78.82,54,40,17.27,US,1638655486
21,cabedelo,-6.9811,-34.8339,79.47,80,15,12.12,BR,1638655560
22,yellowknife,62.456,-114.3525,-26.45,79,28,8.01,CA,1638655394
23,puerto ayora,-0.7393,-90.3518,75.16,83,78,7.7,EC,1638655661
24,ushuaia,-54.8,-68.3,51.46,54,40,19.57,AR,1638655661
25,busselton,-33.65,115.3333,56.08,68,1,10.65,AU,1638655661
26,port elizabeth,-33.918,25.5701,63.1,94,90,11.5,ZA,1638655661
27,esperance,-33.8667,121.9,55.24,81,59,10.98,AU,1638655662
28,torbay,47.6666,-52.7314,31.57,56,88,11.01,CA,1638655662
29,necochea,-38.5473,-58.7368,59.04,65,97,13.29,AR,1638655662
30,kyshtovka,56.555,76.6271,31.32,92,100,14.85,RU,1638655663
31,kapaa,22.0752,-159.319,71.92,68,75,1.99,US,1638655663
32,sitka,57.0531,-135.33,30.09,80,75,9.22,US,1638655663
33,oranjemund,-28.55,16.4333,61.21,86,80,4.29,NA,1638655663
34,loanda,-8.8368,13.2343,75.2,88,75,6.91,AO,1638655605
35,paracuru,-3.41,-39.0306,82.42,78,64,11.86,BR,1638655664
36,kagoro,9.6,8.3833,72.01,35,91,4.41,NG,1638655664
37,cape town,-33.9258,18.4232,64.35,81,100,4,ZA,1638655475
39,pimentel,-6.8367,-79.9342,70.09,73,40,17.27,PE,1638655665
40,vaini,-21.2,-175.2,84.36,74,40,12.66,TO,1638655665
41,bredasdorp,-34.5322,20.0403,61.29,88,100,19.35,ZA,1638655665
42,biloela,-24.4167,150.5,77.95,70,0,3.98,AU,1638655666
43,new norfolk,-42.7826,147.0587,57.65,49,3,1.99,AU,1638655666
44,zhigansk,66.7697,123.3711,-15.05,98,100,14.47,RU,1638655666
45,nome,64.5011,-165.4064,8.67,85,90,5.75,US,1638655666
46,abensberg,48.8167,11.85,44.4,92,100,13.6,DE,1638655465
47,nhulunbuy,-12.2333,136.7667,86.61,74,100,4.61,AU,1638655667
48,westport,41.1415,-73.3579,46.22,71,1,14,US,1638655452
49,sao gabriel,-30.3364,-54.32,78.98,56,86,12.48,BR,1638655668
51,cherskiy,68.75,161.3,-35.66,100,45,3.22,RU,1638655668
52,excelsior springs,39.3392,-94.2261,51.94,50,1,8.05,US,1638655668
54,saint george,37.1041,-113.5841,72.07,24,1,1.99,US,1638655577
55,iqaluit,63.7506,-68.5145,5.92,93,100,27.42,CA,1638655669
56,barrow,71.2906,-156.7887,15.82,79,90,16.11,US,1638655433
58,dikson,73.5069,80.5464,-22.86,100,100,9.75,RU,1638655670
61,namatanai,-3.6667,152.4333,83.88,74,78,5.5,PG,1638655671
62,leh,34.1667,77.5833,16.65,70,37,2.44,IN,1638655626
63,mabaruma,8.2,-59.7833,76.23,86,100,4.76,GY,1638655671
64,punta arenas,-53.15,-70.9167,55.51,47,20,24.16,CL,1638655562
65,siocon,7.7061,122.1353,77.23,87,50,8.55,PH,1638655672
66,port alfred,-33.5906,26.891,68.09,95,100,22.93,ZA,1638655672
67,leningradskiy,69.3833,178.4167,-17.3,95,94,4.65,RU,1638655672
68,pochutla,15.7432,-96.4661,87.82,41,1,5.73,MX,1638655672
69,asau,46.4333,26.4,30.76,80,79,4.65,RO,1638655673
70,pucara,-15.9803,-71.4606,38.66,83,99,7.9,PE,1638655673
71,saint-philippe,-21.3585,55.7679,76.55,83,28,10.29,RE,1638655673
72,knyaze-volkonskoye,48.4642,135.4567,5.34,85,89,14.12,RU,1638655673
73,hasaki,35.7333,140.8333,37.8,60,4,18.01,JP,1638655673
74,nikolskoye,59.7035,30.7861,14.02,94,99,5.73,RU,1638655674
75,mukhen,48.1,136.1,3.58,77,94,9.66,RU,1638655563
76,calvinia,-31.4707,19.776,54.34,81,50,2.66,ZA,1638655549
77,saint-pierre,-21.3393,55.4781,76.64,77,0,4.61,RE,1638655674
78,nanakuli,21.3906,-158.1547,73.35,73,75,17.27,US,1638655675
79,carnarvon,-24.8667,113.6333,69.87,94,0,5.75,AU,1638655675
80,waingapu,-9.6567,120.2641,80.83,77,100,6.26,ID,1638655676
81,grindavik,63.8424,-22.4338,28.87,86,40,16.11,IS,1638655676
82,talnakh,69.4865,88.3972,-30.8,100,100,1.66,RU,1638655677
83,hede,33.7681,120.2517,41.34,71,72,4.43,CN,1638655677
84,outjo,-20.1167,16.15,64.98,27,10,10.65,NA,1638655677
85,butaritari,3.0707,172.7902,83.14,78,18,19.55,KI,1638655678
86,east london,-33.0153,27.9116,68.41,95,100,16.98,ZA,1638655678
87,ribeira grande,38.5167,-28.7,64.44,76,87,10.98,PT,1638655678
88,itoman,26.1247,127.6694,64.42,59,75,13.8,JP,1638655678
89,rio claro,-22.4114,-47.5614,71.8,48,52,3.51,BR,1638655637
90,husavik,66.0449,-17.3389,19.2,82,27,13.51,IS,1638655679
91,chicama,-7.8447,-79.1469,64.94,73,100,8.43,PE,1638655679
92,aklavik,68.2191,-135.0107,-25.71,87,4,6.98,CA,1638655680
93,saint-augustin,51.226,-58.6502,21.63,56,31,19.46,CA,1638655680
94,tacoronte,28.4769,-16.4102,60.26,77,40,14,ES,1638655680
96,norman wells,65.282,-126.8329,-27.11,91,21,3.04,CA,1638655680
97,marsh harbour,26.5412,-77.0636,75.36,66,6,7.09,BS,1638655681
98,severo-kurilsk,50.6789,156.125,31.3,74,76,19.1,RU,1638655681
99,sao gabriel da cachoeira,-0.1303,-67.0892,74.23,98,100,1.9,BR,1638655681
100,abha,18.2164,42.5053,52.05,30,0,0,SA,1638655681
101,invermere,50.5167,-116.0354,27.77,83,100,5.55,CA,1638655682
102,darnah,32.767,22.6367,61.7,70,73,33.64,LY,1638655682
103,roma,43.2128,-75.4557,42.66,57,90,1.01,US,1638655682
104,mlonggo,-6.5333,110.7,78.69,89,100,12.84,ID,1638655683
105,ilebo,-4.3167,20.5833,70.43,99,100,0.94,CD,1638655683
106,molchanovo,57.5817,83.7692,19.87,93,100,9.15,RU,1638655593
107,rocha,-34.4833,-54.3333,66.6,73,78,9.33,UY,1638655637
108,jamestown,42.097,-79.2353,38.79,65,75,7,US,1638655684
109,avarua,-21.2078,-159.775,78.85,89,75,4.61,CK,1638655684
110,mahebourg,-20.4081,57.7,77.25,75,29,12.71,MU,1638655684
111,hobart,-42.8794,147.3294,58.01,56,40,3,AU,1638655417
112,arraial do cabo,-22.9661,-42.0278,73.53,80,6,8.34,BR,1638655685
113,yeppoon,-23.1333,150.7333,78.58,70,33,12.8,AU,1638655685
114,saskylakh,71.9167,114.0833,-19.71,98,100,5.61,RU,1638655685
116,olafsvik,64.8945,-23.7142,35.31,77,77,11.25,IS,1638655666
117,mbaiki,3.8678,17.9892,74.84,69,92,1.97,CF,1638655686
118,sumbawanga,-7.9667,31.6167,63.77,57,22,3.91,TZ,1638655463
119,high prairie,55.4334,-116.4858,11.89,85,100,7.36,CA,1638655686
120,yumen,40.2833,97.2,28.49,29,4,4.12,CN,1638655687
121,dali,25.7,100.1833,45.05,91,53,2.26,CN,1638655687
122,lavrentiya,65.5833,-171,6.46,91,36,3.18,RU,1638655687
123,rockland,41.1668,-74.0496,45.45,67,84,6.06,US,1638655688
124,upernavik,72.7868,-56.1549,21.63,63,100,4.72,GL,1638655645
125,kaitangata,-46.2817,169.8464,59.94,79,100,8.19,NZ,1638655688
126,padang,-0.9492,100.3543,77.05,90,100,1.63,ID,1638655435
127,saint-georges,12.0564,-61.7485,79.9,78,82,13.8,GD,1638655689
128,la rioja,42.25,-2.5,41.49,97,100,6.26,ES,1638655689
129,anadyr,64.75,177.4833,-3.51,76,100,11.01,RU,1638655689
130,bluff,-46.6,168.3333,55.8,90,99,8.86,NZ,1638655690
131,cuiluan,47.72,128.648,8.1,86,36,5.73,CN,1638655690
132,isangel,-19.55,169.2667,81.97,76,99,11.63,VU,1638655691
133,faanui,-16.4833,-151.75,81.39,66,38,14.38,PF,1638655692
134,college,64.8569,-147.8028,-19.41,74,75,0,US,1638655692
135,yerofey pavlovich,53.9667,121.9667,5.9,89,100,1.63,RU,1638655693
136,at-bashi,41.1702,75.8106,18.66,58,83,2.95,KG,1638655694
137,kavaratti,10.5669,72.642,80.58,79,34,7,IN,1638655694
138,sola,-13.8833,167.55,80.17,75,100,13.02,VU,1638655695
139,hofn,64.2539,-15.2082,31.46,58,0,9.48,IS,1638655695
140,lebu,-37.6167,-73.65,57.78,71,0,21.03,CL,1638655695
141,ostrovnoy,68.0531,39.5131,4.06,96,81,7.29,RU,1638655696
142,geraldton,-28.7667,114.6,61.21,72,0,8.05,AU,1638655696
143,mar del plata,-38.0023,-57.5575,58.87,79,35,11.99,AR,1638655448
144,bethel,41.3712,-73.414,44.96,66,1,0,US,1638655696
145,qaanaaq,77.484,-69.3632,0.46,64,70,7.65,GL,1638655697
147,melnikovo,56.5558,84.085,26.26,95,85,9.55,RU,1638655697
148,merauke,-8.4667,140.3333,81.3,82,100,5.39,ID,1638655697
149,sioux lookout,50.1001,-91.917,8.11,92,100,5.82,CA,1638655698
150,melita,49.2681,-100.9967,32.18,69,100,7.38,CA,1638655698
151,colares,38.7992,-9.4469,56.28,70,0,1.01,PT,1638655698
152,ambilobe,-13.2,49.05,76.59,76,3,4.72,MG,1638655698
153,cabo san lucas,22.8909,-109.9124,85.51,54,1,7,MX,1638655699
154,pisco,-13.7,-76.2167,69.85,78,0,19.57,PE,1638655699
155,tautira,-17.7333,-149.15,82,74,52,13.02,PF,1638655699
156,letterkenny,54.95,-7.7333,42.12,74,41,15.39,IE,1638655416
157,wadi musa,30.3222,35.4793,54.86,32,100,5.95,JO,1638655699
159,nanortalik,60.1432,-45.2371,35.26,89,98,38.54,GL,1638655511
160,cam ranh,11.9214,109.1591,73.36,68,20,9.22,VN,1638655700
161,paidha,2.4167,30.9855,61.88,90,65,4.83,UG,1638655701
162,marfino,55.7028,37.3822,22.95,85,75,4.47,RU,1638655563
163,lokosovo,61.1333,74.8167,6.49,96,100,7.2,RU,1638655701
164,akdepe,42.0551,59.3788,26.6,80,99,1.74,TM,1638655701
165,laguna,38.421,-121.4238,72.23,94,90,0,US,1638655514
166,huarmey,-10.0681,-78.1522,68.85,82,100,9.17,PE,1638655702
167,bandarbeyla,9.4942,50.8122,75.63,67,23,16.58,SO,1638655702
168,hithadhoo,-0.6,73.0833,81.23,76,84,11.68,MV,1638655702
169,napier,-39.4833,176.9167,67.57,68,98,11.48,NZ,1638655702
170,berlevag,70.8578,29.0864,17.47,85,29,23.82,NO,1638655703
